,Price,Address,City,Beds,Bath,SQFT
0,"$165,000", 1925 Sd 46060,Rocksprings TX 78880 ,2 beds         ,1 bath         ,
1,"$2,400,000", 000 Cr 105,Rocksprings TX 78880 ,,,"5,000 sq. ft         "
2,"$290,000", El Gato Lot 11 High Point Ranch,Rocksprings TX 78880 ,2 beds         ,1 bath         ,384 sq. ft         
3,"$250,000", Sd 28530,Rocksprings TX 78880 ,1 bed         ,,525 sq. ft         
4,"$219,961", County Road 550,Rocksprings TX 78880 ,,,
5,"$999,950", 3274 Pvt rd 4560,Rocksprings TX 78880 ,4 beds         ,3 baths         ,"1,370 sq. ft         "
6,"$3,285,565", 00 County Road 440,Rocksprings TX 78880 ,,,
7,"$3,285,565", Cr 440,Rocksprings TX 78880 ,,,
8,"$3,285,565", Cr 440,Rocksprings TX 78880 ,,,
9,"$1,939,600", 4289 Ranch Rd 674,Rocksprings TX 78880 ,,,
10,"$1,127,000", 0 Other,Rocksprings TX 78880 ,,,
11,"$1,127,000", Other,Rocksprings TX 78880 ,,,
12,"$499,000", 000 Tract 10,Rocksprings TX 78880 ,1 bed         ,1 bath         ,600 sq. ft         
13,"$395,000", 2130 Other,Rocksprings TX 78880 ,,,"2,400 sq. ft         "
14,"$395,000", 2130 Other,Rocksprings TX 78880 ,,,"2,400 sq. ft         "
15,"$395,000", 2130 Other,Rocksprings TX 78880 ,1 bed         ,1 bath         ,"2,400 sq. ft         "
16,"$331,875", Indian Gap Lot 8 350 SD 65010,Rocksprings TX 78880 ,,,
17,"$305,100", 160 Kc 160,Rocksprings TX 78880 ,,,
18,"$298,215", 160 Kc 160,Rocksprings TX 78880 ,,,
19,"$296,001", 160 Kc 160,Rocksprings TX 78880 ,,,
